person,year_raw,event,type,subtype,phase
atkeson,2000,Carnegie Mellon University로 이적 (밀레니엄 기념),직업 이력,move,mid_career
atkeson,CMU 시기,"Sarcos와 DB(Dynamic Brain) 로봇으로 휴머노이드 연구; Darrin Bentivegna 등 박사생 지도, 3볼 저글링·devil sticking 등",연구·프로젝트,proj_start,mid_career
atkeson,CMU 시기,"Care Media (Informedia 파생) 프로젝트, NSF Engineering Research Center ""Quality of Life Technology"" 공동참여",연구·프로젝트,proj_start,mid_career
atkeson,CMU 시기,"Yoky Matsuoka, James Kuffner, Hart Macgyver 등 젊은 교원 멘토링",네트워크,student_notable,mid_career
atkeson,2010,인터뷰 시점: CMU Robotics Institute 및 Human-Computer Interaction Institute 교수,직업 이력,hire,mid_career
bajcsy,1933,체코슬로바키아 브라티슬라바에서 출생 (히틀러 집권 해),개인사,birth,k12
bajcsy,1936년경,친모 사망 (Bajcsy 3세),개인사,family,k12
bajcsy,1938,부친 재혼; 가족이 가톨릭으로 개종,개인사,family,k12
bajcsy,1938–1939,중부 슬로바키아 Zvolen으로 이주,개인사,relocation,k12
bajcsy,1944년 8월,"슬로바키아 봉기, 나치가 진압을 위해 침입",외부 영향,war,k12
bajcsy,1944년 11–12월,부친·계모가 나치에 의해 살해됨; 11세의 Bajcsy와 여동생은 다른 방에 있어 우연히 살아남음,개인사,family,k12
bajcsy,1944,"적십자에 의해 전쟁 고아로 등록, 보호소 생활",개인사,personal_other,k12
bajcsy,1945년 3월,"소련군 진주로 해방; 친척 모두 사망, 부다페스트의 이모만 생존",외부 영향,war,k12
bajcsy,1946,Zvolen에서 브라티슬라바로 이주,개인사,relocation,k12
bajcsy,1947,"가톨릭 고아원 입소, 14세에 시 지정 후견인에게 인계",개인사,personal_other,k12
bajcsy,1948,스탈린의 국경 폐쇄로 여동생과 영구 분리,외부 영향,policy,k12
bajcsy,1952,체코슬로바키아 정부의 마르크스주의 강제 회피 위해 Slovak Technical University 전기공학과 입학,교육,bs_enroll,undergrad
bajcsy,1956,"학생 모임에서 코메니우스 전통 옹호 발언으로 ""국가의 적"" 낙인",외부 영향,social_movement,undergrad
bajcsy,1957,슬로바키아 공과대학교 전기공학 석사 학위 취득 (Slovakia 최초 여성 전기공학 박사 후보가 될 학생),교육,ms_graduate,grad
bajcsy,1957,딸 출생; 5년간 전자공학 공장에서 엔지니어로 강제 배치,개인사,family,grad
bajcsy,1962년경,Slovak Technical University가 러시아제 Ural II 컴퓨터 도입; 유지보수 엔지니어로 합류 (가르치는 것은 금지),직업 이력,hire,grad
bajcsy,1964,아들 출생,개인사,family,grad
bajcsy,1967,"슬로바키아 공과대학교 전기공학 박사 학위 취득 (학습 기계, 마르코프 과정), 슬로바키아 최초 여성 전기공학 박사",교육,phd_graduate,grad
bajcsy,1967년 10월,"Stanford 입학을 위해 미국행 (John McCarthy 초청), 두 자녀를 두고 떠남",교육,phd_enroll,grad
bajcsy,1968,"소련의 프라하 침공으로 귀국 포기, Stanford에 잔류",외부 영향,war,grad
bajcsy,1972,Stanford에서 컴퓨터과학 두 번째 박사 학위 취득 (텍스처 인식),교육,phd_graduate,grad
bajcsy,1972,University of Pennsylvania 조교수로 부임 (학과 첫 여성),직업 이력,hire,early_career
bajcsy,1978,종신재직권 취득 직후 GRASP Lab(General Robotics and Active Sensory Perception) 설립,직업 이력,promotion,mid_career
bajcsy,Penn 시기,"디지털 뇌 해부도(anatomy atlas) 개발, MRI/PET 매칭 소프트웨어",연구·프로젝트,proj_start,mid_career
bajcsy,Penn 시기,"자동 초점·줌 시스템, 시각+촉각 통합, 협동 로봇 등 active perception 패러다임 연구",연구·프로젝트,breakthrough,mid_career
bajcsy,1990,딸이 미국으로 이주,개인사,family,mid_career
bajcsy,1991–1992,아들이 미국으로 이주,개인사,family,mid_career
bajcsy,1998–2001,NSF CISE(Computer and Information Science and Engineering Directorate) 책임자,직업 이력,admin_role,senior
bajcsy,2001 이후,Penn 복귀 후 은퇴 검토,직업 이력,retire,senior
bajcsy,2002,UC Berkeley CITRIS 디렉터로 부임 (Randy Katz의 후임),직업 이력,admin_role,senior
bajcsy,2002,인터뷰 시점: UC Berkeley EECS 교수 겸 CITRIS 디렉터,직업 이력,admin_role,senior
bajcsy,2009,"최근 연구로 Benjamin Franklin Medal in Computer and Cognitive Science 수상 (인터뷰 후, 약력에 표기)",수상·명예,lifetime_award,senior
bekey,출생,슬로바키아 브라티슬라바에서 출생,개인사,birth,k12
bekey,2차 대전 직전,가족과 함께 미국 비자 대기를 위해 볼리비아로 이주,개인사,relocation,k12
bekey,볼리비아 5년,비자 발급을 기다림,외부 영향,war,k12
bekey,17세,가족과 함께 로스앤젤레스 도착,개인사,relocation,k12
bekey,학부,UCLA에서 전기공학 시작 (3년),교육,bs_enroll,undergrad
bekey,1949–1950,UC Berkeley에서 4학년 수학,교육,bs_enroll,undergrad
bekey,1950,UC Berkeley 전기공학 학사 학위 취득,교육,bs_graduate,undergrad
bekey,1952,UCLA 전기공학 석사 학위 취득,교육,ms_graduate,grad
bekey,석사 후,"UCLA에서 컴퓨터 운용, 오후에는 USC 신학교에서 신학 석사 과정 (약 2.5–3년)",교육,ms_enroll,grad
bekey,신학 과정 중단,4년차 직전 중단,실패·전환,pivot,grad
bekey,1962,"UCLA 전기공학 박사 학위 취득 (지도교수 John Lyman, 인간 운영자 모델 주제), USC 부임",교육,phd_graduate,grad
bekey,1960년대 말,"Bob McGhee, 박사생 Andrew Frank와 함께 4족 보행 로봇 ""Phony Pony"" 제작 (북미 최초)",연구·프로젝트,breakthrough,early_career
bekey,1960년대 말,TRW 시절 대륙간 미사일용 하이브리드(아날로그+디지털) 시뮬레이터 구축 참여,창업·산업,industry_collab,early_career
bekey,1968,공저서 (analog/digital hybrid computation) 출간,연구·프로젝트,paper,early_career
bekey,1970년대 초반,USC 생의공학과 창립,직업 이력,admin_role,mid_career
bekey,1980년대,"Barry Soroka(Stanford 출신) 영입, NSF 그랜트로 PUMA 매니퓰레이터 도입; USC 로보틱스 랩 창설",직업 이력,admin_role,mid_career
bekey,1984,"IEEE Journal of Robotics and Automation 창간 (이후 Transactions로 격상), George Saridis·Antal Bejczy 등과 IEEE 로봇 그룹 결성",학회·커뮤니티,editorship,mid_career
bekey,1980년대 중반,Tomović(유고슬라비아)와 5손가락 synergistic 로봇 핸드 협업,네트워크,collab_start,mid_career
bekey,1980년대 중반,"Georgia Tech 로봇 헬리콥터 대회 첫 출전 (Andy Fagg, Tony Lewis 박사생 주도)",연구·프로젝트,demo,mid_career
bekey,약 20년 전,Autonomous Robots 저널 창간 (Kluwer 출판; Rod Brooks가 1권 1호 저자),학회·커뮤니티,editorship,mid_career
bekey,1990년대,"6족·4족 학습 로봇, 모바일 로봇, 헬리콥터 등 다수 프로젝트",연구·프로젝트,proj_start,mid_career
bekey,1996–1998,IEEE Robotics and Automation Society 회장,학회·커뮤니티,editorship,senior
bekey,2002년경,USC에서 정식 은퇴 (40년 재직),직업 이력,retire,senior
bekey,2002 이후,"Cal Poly San Luis Obispo에서 교수로 활동, 세계 종교 강의도 병행",직업 이력,hire,senior
bekey,2006,NSF 지원으로 아시아·유럽 로봇 현황 조사단 인솔,학회·커뮤니티,committee,senior
bekey,2010,"인터뷰 시점: Arroyo Grande 거주, 38명의 박사 배출, 로봇 윤리 연구에 집중",연구·프로젝트,proj_start,senior
bobrow,출생,미국 매사추세츠 주 Newton에서 출생,개인사,birth,k12
bobrow,1세 무렵,"가족과 함께 캘리포니아로 이주, 로스앤젤레스 교외에서 성장",개인사,relocation,k12
bobrow,유년기,미니바이크의 Briggs and Stratton 엔진을 개조하며 기계공학에 흥미; 부친 차고에서 작업,교육,k12_enroll,k12
bobrow,1977,"California State University, Long Beach에서 기계공학 학사 학위 취득",교육,bs_graduate,undergrad
bobrow,1977 이후,"Hughes Aircraft, TRW에서 위성 관련 엔지니어로 근무 경험",직업 이력,hire,early_career
bobrow,1979,UCLA 기계공학 석사 학위 취득,교육,ms_graduate,grad
bobrow,박사 과정,"UCLA에서 Steve Dubowsky·Steve Gibson 공동 지도, 매니퓰레이터 점-점 최단시간 동작 알고리즘 연구",교육,phd_advisor,grad
bobrow,1982,UCLA 기계공학 박사 학위 취득,교육,phd_graduate,grad
bobrow,박사 후,"McDonnell Douglas Automation의 CAD/CAM 부서에서 약 1.5년 근무, 머신 툴 경로 생성 논문 발표",직업 이력,hire,early_career
